ifjusagi	53.0	133.0	95.0	145.0	345.0
ifjusagi	59.0	130.0	100.0	170.0	385.0
ifjusagi	66.0	147.5	110.0	205.0	435.0
ifjusagi	74.0	180.0	150.0	221.0	536.0
ifjusagi	83.0	190.0	128.0	230.5	528.5
ifjusagi	93.0	205.5	157.5	245.0	590.5
ifjusagi	105.0	220.0	172.5	241.0	612.5
ifjusagi	120.0	215.0	157.5	260.0	605.0
ifjusagi	121.0	155.0	120.0	175.0	445.0
junior	53.0	105.0	95.0	145.0	345.0
junior	59.0	130.5	100.5	170.0	386.0
junior	66.0	180.0	132.5	213.5	507.5
junior	74.0	197.5	156.0	235.0	585.0
junior	83.0	242.5	170.0	275.0	662.5
junior	93.0	272.5	190.0	305.0	765.0
junior	105.0	273.0	197.5	315.5	786.0
junior	120.0	250.5	190.0	303.0	743.0
junior	121.0	267.5	217.5	285.5	750.0
